'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.474';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
'0.208';'4.463';0.0
